company,company_tier,group,official_career_domain,ats_family,priority,last_delta_check,next_delta_check,last_deep_check,next_deep_check,active_relevant_jobs,latest_job_ids,check_status,access_status,callback_priority,priority_reason,next_action
Accenture,Tier A,Mandatory India services / consulting,https://www.accenture.com/in-en/careers/jobsearch,Workday,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,3,ATCI-5285615-S1931366,Checked This Cycle,,No,daily monitoring; 3 active relevant job(s); company has active application pipeline rows,
Infosys,Tier A,Mandatory India services / consulting,https://career.infosys.com/,Infosys Jobs / internal ATS,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Retry,,No,daily monitoring; retry required,
TCS,Tier A,Mandatory India services / consulting,https://www.tcs.com/careers/india/,iBegin,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Wipro,Tier A,Mandatory India services / consulting,https://careers.wipro.com/,Wipro Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Cognizant,Tier A,Mandatory India services / consulting,https://careers.cognizant.com/india-en/,Cognizant Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Capgemini,Tier A,Mandatory India services / consulting,https://www.capgemini.com/in-en/careers/join-capgemini/job-search/,Capgemini Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
HCLTech,Tier A,Mandatory India services / consulting,https://careers.hcltech.com/,HCLTech ATS,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
LTIMindtree,Tier A,Mandatory India services / consulting,https://careers.ltimindtree.com/,LTM,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,1,536167,Checked This Cycle,,No,daily monitoring; 1 active relevant job(s); company has active application pipeline rows,
Mphasis,Tier A,Mandatory India services / consulting,https://careers.mphasis.com/,Mphasis Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Persistent Systems,Tier A,Mandatory India services / consulting,https://www.persistent.com/careers/,Persistent Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Tech Mahindra,Tier A,Mandatory India services / consulting,https://careers.techmahindra.com/,Tech Mahindra ATS,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Deloitte,Tier A,Mandatory India services / consulting,https://usijobs.deloitte.com/,Deloitte USI Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,1,350387,Checked This Cycle,,No,daily monitoring; 1 active relevant job(s); company has active application pipeline rows,
EY,Tier A,Mandatory India services / consulting,https://www.ey.com/en_in/careers/job-search,EY Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
KPMG,Tier A,Mandatory India services / consulting,https://jobs.kpmg.com/,KPMG Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Retry,,No,daily monitoring; retry required,
PwC,Tier A,Mandatory India services / consulting,https://jobs.pwc.com/,PwC Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Retry,,No,daily monitoring; retry required,
IBM,Tier A,Mandatory India services / consulting,https://careers.ibm.com/,IBM Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,4,126243,Checked This Cycle,,No,daily monitoring; 4 active relevant job(s); company has active application pipeline rows,
Oracle,Tier A,Mandatory India services / consulting,https://careers.oracle.com/,Oracle Recruiting,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,2,340302,Checked This Cycle,,No,daily monitoring; 2 active relevant job(s); company has active application pipeline rows,
SAP,Tier A,Mandatory India services / consulting,,,P1,,2026-08-09,,2026-08-10,0,,Not checked,,No,daily monitoring,
NTT DATA,Tier A,Mandatory India services / consulting,https://careers.nttdata.com/,NTT DATA Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Retry,,No,daily monitoring; retry required,
DXC Technology,Tier A,Mandatory India services / consulting,https://careers.dxc.com/,Workday,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Publicis Sapient,Tier A,Mandatory India services / consulting,https://careers.publicissapient.com/,Greenhouse,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
Thoughtworks,Tier A,Mandatory India services / consulting,https://www.thoughtworks.com/careers/jobs,Greenhouse,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Checked This Cycle,,No,daily monitoring,
EPAM,Tier A,Mandatory India services / consulting,https://www.epam.com/careers,EPAM Careers,P1,2026-08-08,2026-08-09,2026-08-08,2026-08-10,0,,Retry,,No,daily monitoring; retry required,
UST,Tier A,Mandatory India services / consulting,https://www.ust.com/en/careers,UST Careers,P1,2026-08-08,2026-08-11,2026-08-08,2026-08-11,0,,Blocked,,No,daily monitoring; company has active application pipeline rows; blocked; alternate route needed,
