queue_order,company,company_tier,due_type,due_date,last_delta_check,next_delta_check,last_deep_check,next_deep_check,status,retry_reason,next_action,overdue
1,Accenture,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
2,Infosys,Tier A,Retry Delta,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Retry,Retry official careers/ATS using alternate route.,Retry official careers/ATS on 2026-08-09; search all six lanes.,No
3,TCS,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
4,Wipro,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
5,Cognizant,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
6,Capgemini,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
7,HCLTech,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
8,LTIMindtree,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
9,Mphasis,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
10,Persistent Systems,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
11,Tech Mahindra,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
12,Deloitte,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
13,EY,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
14,KPMG,Tier A,Retry Delta,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Retry,Retry official careers/ATS using alternate route.,Retry official careers/ATS on 2026-08-09; search all six lanes.,No
15,PwC,Tier A,Retry Delta,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Retry,Retry official careers/ATS using alternate route.,Retry official careers/ATS on 2026-08-09; search all six lanes.,No
16,IBM,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
17,Oracle,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
18,SAP,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
19,NTT DATA,Tier A,Retry Delta,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Retry,Retry official careers/ATS using alternate route.,Retry official careers/ATS on 2026-08-09; search all six lanes.,No
20,DXC Technology,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
21,Publicis Sapient,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
22,Thoughtworks,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
23,EPAM,Tier A,Retry Delta,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Retry,Retry official careers/ATS using alternate route.,Retry official careers/ATS on 2026-08-09; search all six lanes.,No
24,UST,Tier A,Blocked Retry,2026-08-11,2026-08-08,2026-08-11,2026-08-08,2026-08-11,Blocked,Blocked previously; retry using alternate official/ATS route.,Retry with alternate official/ATS route by 2026-08-11.,No
25,Virtusa,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
26,Genpact,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
27,Microsoft,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
28,Google,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
29,Amazon,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
30,Apple,Tier A,Daily Delta + Scheduled Deep,2026-08-09,2026-08-08,2026-08-09,2026-08-08,2026-08-10,Checked This Cycle,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
31,Adobe,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
32,Salesforce,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
33,ServiceNow,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
34,Atlassian,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
35,Intuit,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
36,Cisco,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
37,Red Hat,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
38,Dell Technologies,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
39,HPE,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
40,NVIDIA,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
41,Intel,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
42,Qualcomm,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
43,Akamai,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
44,Cloudflare,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
45,Palo Alto Networks,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
46,NetApp,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
47,Nutanix,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
48,Rubrik,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
49,Cohesity,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
50,Confluent,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
51,MongoDB,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
52,Elastic,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
53,Snowflake,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
54,Databricks,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
55,Twilio,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
56,Okta,Tier A,Daily Delta + Scheduled Deep,2026-08-09,,2026-08-09,,2026-08-10,Queued,,Daily delta on 2026-08-09; deep check by 2026-08-10.,No
