canonical_key,job_id,company,role,status,applied_date,follow_up_date,outreach_status,next_action,match_score,probable_repost
733/95589233616,733/95589233616,McKesson,Software Engineer,Ready to Apply,,,Not researched,"Tailor resume, apply, then prepare outreach",87,
126243,126243,IBM,Software Engineer - Confluent,Ready to Apply,,,Not researched,"Tailor resume, apply, then prepare outreach",83,
110385859693290182,110385859693290182,Google,"Software Engineer III, Full Stack, Google Store",Tailoring Needed,,,Not researched,"Verify freshness/seniority, tailor resume, apply",84,
126957,126957,IBM,Software Engineer - Confluent,Manual Verification,,,Not researched,Resolve probable repost; do not apply separately until confirmed.,81,Yes
116585,116585,IBM,Application Developer-Cloud FullStack,Tailoring Needed,,,Not researched,"Verify freshness/seniority, tailor resume, apply",79,
83003,83003,IBM,Application Developer-Azure Cloud FullStack,Tailoring Needed,,,Not researched,"Verify freshness/seniority, tailor resume, apply",78,
340302,340302,Oracle,Full stack Developer,Tailoring Needed,,,Not researched,"Verify freshness/seniority, tailor resume, apply",77,
200674285,200674285,Apple,Software Engineer - Java,Tailoring Needed,,,Not researched,"Verify freshness/seniority, tailor resume, apply",78,
oracle-health-bengaluru-search,oracle-health-bengaluru-search,Oracle,"Software Developer 3, Oracle Health",Manual Verification,,,Not researched,Find exact Oracle role page before applying.,75,
4441506343,4441506343,Osettl Technologies Pvt Ltd (Legodesk),Full Stack Developer -- Java (Springboot) + React,Manual Verification,,,Not researched,Find official employer page and verify,82,
4441947109,4441947109,MUFG,Analyst - Full Stack Web C# .Net,Manual Verification,,,Not researched,Find official employer page and verify,80,
4448827499,4448827499,Uplers,Full-Stack Engineer (React / .NET Core / Azure),Manual Verification,,,Not researched,Find official employer page and verify,79,
4434990260,4434990260,DSV - Global Transport and Logistics,IT Developer,Manual Verification,,,Not researched,Find official employer page and verify,78,
4418753895,4418753895,Dayforce,(IND) Software Developer,Manual Verification,,,Not researched,Find official employer page and verify,82,
4450708181,4450708181,Shipco IT,Associate - Application Developer (React Developer),Manual Verification,,,Not researched,Find official employer page and verify,77,
4440043767,4440043767,Worldpay,Java Developer – 2 to 5 yrs,Manual Verification,,,Not researched,Find official employer page and verify,81,
4301159877,4301159877,Tecnovos,Developer - Java Full Stack,Manual Verification,,,Not researched,Find official employer page and verify,79,
4435557191,4435557191,Triveous,Full Stack Developer,Manual Verification,,,Not researched,Find official employer page and verify,78,
4444328363,4444328363,NowFloats,"Software Engineer-Mobile (iOS, Android & React Native)",Manual Verification,,,Not researched,Find official employer page and verify,66,
4431918819,4431918819,I Knowledge Factory (IKF),Jr. Full stack Developer,Manual Verification,,,Not researched,Find official employer page and verify,67,
4550776,4550776,Tallect,Software Engineer (Full Stack) | Node.js | SQL | AI-Driven Development,Manual Verification,,,Not researched,Find official employer page and verify,68,
4450313037,4450313037,Husky Technologies,"Developer - Shotscope™ (.NET Full Stack) - Husky(Guindy, Chennai)",Manual Verification,,,Not researched,Find official employer page and verify,65,
4450302920,4450302920,Quest Global,C#.NET Developer with WPF,Manual Verification,,,Not researched,Find official employer page and verify,64,
4432882357,4432882357,Optum India,"Software Engineer - .NET, C# & React",Manual Verification,,,Not researched,Find official employer page and verify,77,
4430862662,4430862662,AAXIS,Full Stack Engineer,Manual Verification,,,Not researched,Find official employer page and verify,76,
JR193411,JR193411,Carelon Global Solutions India,Java and React Software Engineer II,Manual Verification,,,Not researched,Find official employer page and verify,79,
4448408058,4448408058,UST,.Net Fullstack Developer,Manual Verification,,,Not researched,Find official employer page and verify,65,
ATCI-5285615-S1931366,ATCI-5285615-S1931366,Accenture,Custom Software Engineer,Tailoring Needed,,,Not researched,Tailor resume and apply,88,
ATCI-5113335-S1891414,ATCI-5113335-S1891414,Accenture,Application Developer,Tailoring Needed,,,Not researched,Tailor resume and apply,87,
ATCI-5084904-S1887932,ATCI-5084904-S1887932,Accenture,Application Developer,Tailoring Needed,,,Not researched,Tailor resume and apply,84,
350387,350387,Deloitte,Fullstack Java With React-Software Engineer II,Manual Verification,,,Not researched,Verify specific role page before applying,81,
creq258520,creq258520,Virtusa,Consultant,Tailoring Needed,,,Not researched,Tailor resume and apply,83,
536167,536167,LTIMindtree,Senior Software Engineer,Tailoring Needed,,,Not researched,Tailor resume and apply,80,
JR10015156,JR10015156,Genpact,Developer - Application Development JAVA N 4A,Manual Verification,,,Not researched,Verify specific role page before applying,79,
JR10013890,JR10013890,Genpact,Developer - Application Development JAVA N 4A,Manual Verification,,,Not researched,Verify specific role page before applying,78,
JR10019158,JR10019158,Genpact,Software Development Engineer - Software Development Engineering N 4A,Manual Verification,,,Not researched,Verify specific role page before applying,80,
